,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,just,be
16,at,not
17,be,was
18,im,have
19,your,are
20,me,all
21,not,your
22,when,from
23,by,by
24,was,im
25,so,just
26,out,but
27,all,like
28,have,its
29,do,we
30,from,me
31,but,an
32,its,so
33,will,what
34,new,out
35,as,about
36,love,as
37,trump,more
38,an,now
39, we, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,just,be
16,at,not
17,be,was
18,im,have
19,your,are
20,me,all
21,not,your
22,when,from
23,by,by
24,was,im
25,so,just
26,out,but
27,all,like
28,have,its
29,do,we
30,from,me
31,but,an
32,its,so
33,will,what
34,new,out
35,as,about
36,love,as
37,trump,more
38,an,now
39, we, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,just,be
16,at,not
17,be,was
18,im,have
19,your,are
20,me,all
21,not,your
22,when,from
23,by,by
24,was,im
25,so,just
26,out,but
27,all,like
28,have,its
29,do,we
30,from,me
31,but,an
32,its,so
33,will,what
34,new,out
35,as,about
36,love,as
37,trump,more
38,an,now
39, we, if
