,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,this,you
9,on,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,be,be
16,at,not
17,just,have
18,im,was
19,your,all
20,me,are
21,when,your
22,not,im
23,was,by
24,by,from
25,so,just
26,out,like
27,do,but
28,all,its
29,have,me
30,will,we
31,but,an
32,from,so
33,love,out
34,as,what
35,new,about
36,its,more
37,trump,as
38,like,now
39, we, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,this,you
9,on,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,be,be
16,at,not
17,just,have
18,im,was
19,your,all
20,me,are
21,when,your
22,not,im
23,was,by
24,by,from
25,so,just
26,out,like
27,do,but
28,all,its
29,have,me
30,will,we
31,but,an
32,from,so
33,love,out
34,as,what
35,new,about
36,its,more
37,trump,as
38,like,now
39, we, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,this,you
9,on,on
10,with,at
11,my,it
12,it,with
13,that,that
14,are,my
15,be,be
16,at,not
17,just,have
18,im,was
19,your,all
20,me,are
21,when,your
22,not,im
23,was,by
24,by,from
25,so,just
26,out,like
27,do,but
28,all,its
29,have,me
30,will,we
31,but,an
32,from,so
33,love,out
34,as,what
35,new,about
36,its,more
37,trump,as
38,like,now
39, we, if
