,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,im,my
15,just,be
16,are,not
17,your,was
18,at,have
19,be,from
20,me,your
21,when,im
22,not,are
23,by,all
24,was,by
25,trump,its
26,out,just
27,so,but
28,have,me
29,new,we
30,do,like
31,from,an
32,but,out
33,now,about
34,love,as
35,its,so
36,all,more
37,as,what
38,if,now
39, an, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,im,my
15,just,be
16,are,not
17,your,was
18,at,have
19,be,from
20,me,your
21,when,im
22,not,are
23,by,all
24,was,by
25,trump,its
26,out,just
27,so,but
28,have,me
29,new,we
30,do,like
31,from,an
32,but,out
33,now,about
34,love,as
35,its,so
36,all,more
37,as,what
38,if,now
39, an, if
,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,this
8,on,you
9,this,on
10,with,at
11,my,it
12,it,with
13,that,that
14,im,my
15,just,be
16,are,not
17,your,was
18,at,have
19,be,from
20,me,your
21,when,im
22,not,are
23,by,all
24,was,by
25,trump,its
26,out,just
27,so,but
28,have,me
29,new,we
30,do,like
31,from,an
32,but,out
33,now,about
34,love,as
35,its,so
36,all,more
37,as,what
38,if,now
39, an, if
