,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,in,of
4,of,is
5,is,in
6,for,for
7,you,you
8,on,this
9,this,on
10,that,it
11,with,with
12,it,that
13,my,be
14,are,not
15,your,are
16,just,but
17,at,my
18,was,was
19,me,at
20,be,have
21,not,from
22,have,just
23,im,your
24,like,we
25,out,by
26,about,me
27,do,so
28,when,like
29,from,im
30,its,an
31,how,all
32,people,they
33,if,he
34,one,if
35,but,its
36,as,has
37,up,as
38,so,out
39, who, one
