,FEMALE,MALE
0,ive seen,new york
1,new york,look like
2,social media,just like
3,criminal investigation,liked video
4,im going,im sure
5,donald trump,dont know
6,health care,malik monk
7,looking forward,chance win
8,happy birthday,years ago
9,just want,im going
10,im sure,im just
11,shes president,let know
12,customer service,dont think
13,thoughts prayers,stock market
14,dont understand,mass shooting
15,president trump,white house
16,bank account,derrick rose
17,awesome thanks,happy birthday
18,star wars,health care
19,sandy hook,make sure
20,feel like,im sorry
21,long way,just want
22,just best,looks like
23,left right,just ran
24,love life,dont want
25,late night,dont care
26,mentally ill,north korea
27,just remembered,good news
28,lorde rings,app store
29,chance win,mzanzifollotrain mzansifollotrain
30,swear god,press conference
31,people say,just published
32,love people,years later
33,fox news,high school
34,jeff sessions,im tired
35,united states,year old
36,edit button,ill donate
37,did know,white male
38,witch hunt,pretty good
39, dont know, head coach
