,FEMALE,MALE
0,ive seen,new york
1,new york,look like
2,donald trump,dont know
3,social media,chance win
4,health care,years ago
5,happy birthday,dont think
6,criminal investigation,purple heart
7,im going,liked video
8,looking forward,im sure
9,im sure,malik monk
10,just want,make sure
11,chance win,health care
12,shes president,im going
13,obstruction justice,im sorry
14,feel like,happy birthday
15,edit button,let know
16,dont know,head coach
17,mentally ill,white house
18,thoughts prayers,hillary clinton
19,jeff sessions,ive seen
20,united states,bob mueller
21,video playlist,pretty good
22,make sure,just want
23,added video,dont want
24,entered giveaway,high school
25,giveaway chance,jeff sessions
26,patti lupone,donald trump
27,ted nugent,looks like
28,high school,dont care
29,gun control,dont need
30,download today,phil housley
31,im sorry,edit button
32,dont want,okay just
33,dont think,president united
34,dont care,united states
35,capitol police,dems dealings
36,just checked,dealings russia
37,bob mueller,shes president
38,let know,mentally ill
39, years ago, entered giveaway
