,FEMALE,MALE
0,ive seen,new york
1,social media,im sure
2,new york,just like
3,im going,liked video
4,criminal investigation,look like
5,donald trump,malik monk
6,just want,dont know
7,looking forward,chance win
8,happy birthday,years ago
9,real issue,im going
10,left right,let know
11,long way,stock market
12,lorde rings,dont think
13,love life,happy birthday
14,customer service,derrick rose
15,mentally ill,im just
16,just remembered,mass shooting
17,interrupting women,make sure
18,sandy hook,health care
19,come home,im sorry
20,dont understand,best luck
21,feel like,high school
22,im sure,dont want
23,star wars,looks like
24,bank account,dont care
25,late night,really want
26,president trump,good news
27,health care,years later
28,just best,mzanzifollotrain mzansifollotrain
29,dont agree,im tired
30,jeff sessions,year old
31,edit button,hold press
32,love people,white house
33,did know,white male
34,awesome thanks,ill donate
35,fox news,app store
36,learn share,just published
37,thoughts prayers,im making
38,united states,pretty good
39, im looking, head coach
