,FEMALE,MALE
0,ive seen,new york
1,social media,dont know
2,new york,look like
3,health care,chance win
4,donald trump,liked video
5,looking forward,malik monk
6,criminal investigation,dont think
7,im going,im sure
8,im sure,just like
9,happy birthday,purple heart
10,just want,years ago
11,president trump,make sure
12,chance win,health care
13,shes president,let know
14,fox news,mass shooting
15,feel like,stock market
16,dont understand,happy birthday
17,dont know,derrick rose
18,mentally ill,im going
19,jeff sessions,im just
20,thoughts prayers,pretty good
21,sandy hook,im sorry
22,people say,white house
23,united states,just want
24,did know,hillary clinton
25,left right,dont like
26,long way,dont care
27,witch hunt,dont need
28,obstruction justice,okay just
29,added video,looks like
30,mueller investigating,good news
31,video playlist,dont want
32,edit button,sexual orientation
33,giveaway chance,high school
34,make sure,just published
35,entered giveaway,im tired
36,patti lupone,head coach
37,kamala harris,bob mueller
38,just called,president did
39, just published, united states
