,FEMALE,MALE
0,just,just
1,like,like
2,im,im
3,people,know
4,new,dont
5,trump,people
6,love,think
7,day,new
8,time,want
9,life,trump
10,best,good
11,dont,right
12,great,today
13,president,got
14,want,say
15,today,time
16,think,need
17,way,make
18,right,best
19,going,fight
20,check,thanks
21,remember,love
22,thanks,really
23,know,life
24,getting,follow
25,ill,did
26,got,sure
27,say,left
28,yes,ill
29,youre,twitter
30,stop,https
31,ive,years
32,2017,youre
33,family,hes
34,make,day
35,join,getting
36,health,thats
37,thats,team
38,https,video
39, hate, whats
