,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,trump
4,trump,new
5,new,think
6,love,dont
7,day,people
8,life,know
9,today,right
10,time,today
11,best,want
12,dont,good
13,right,time
14,great,got
15,want,make
16,thanks,say
17,way,need
18,got,best
19,ill,thanks
20,president,love
21,think,did
22,remember,really
23,check,life
24,know,fight
25,getting,left
26,going,days
27,make,ill
28,join,great
29,stop,hes
30,say,follow
31,ive,day
32,yes,https
33,https,sure
34,care,youre
35,youre,man
36,need,come
37,health,team
38,hate,years
39, family, twitter
