,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,think
4,trump,trump
5,love,dont
6,new,people
7,day,new
8,life,know
9,time,today
10,today,want
11,dont,right
12,best,good
13,great,time
14,right,got
15,want,say
16,way,make
17,president,need
18,think,best
19,going,love
20,remember,thanks
21,ill,did
22,got,really
23,getting,fight
24,thanks,left
25,know,life
26,check,youre
27,stop,great
28,https,follow
29,yes,ill
30,say,sure
31,make,https
32,youre,years
33,ive,come
34,thats,work
35,join,hes
36,family,whats
37,good,day
38,real,twitter
39, hate, thats
