,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,dont
4,trump,know
5,love,people
6,new,new
7,day,trump
8,life,think
9,time,today
10,dont,want
11,today,good
12,best,right
13,want,got
14,right,time
15,president,say
16,great,need
17,think,make
18,way,best
19,know,love
20,check,fight
21,remember,thanks
22,got,really
23,thanks,did
24,https,left
25,getting,life
26,going,ill
27,ill,follow
28,stop,https
29,say,youre
30,youre,years
31,yes,sure
32,ive,twitter
33,family,day
34,make,team
35,good,hes
36,hate,video
37,thats,whats
38,2017,great
39, need, getting
