,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,think
4,trump,trump
5,new,want
6,love,people
7,day,new
8,time,dont
9,life,today
10,today,know
11,dont,right
12,best,good
13,right,time
14,great,say
15,way,got
16,going,need
17,president,fight
18,want,left
19,think,thanks
20,ill,make
21,thanks,best
22,remember,did
23,stop,love
24,check,whats
25,got,great
26,https,life
27,know,youre
28,getting,tonight
29,big,work
30,yes,https
31,say,ill
32,make,really
33,real,video
34,youre,follow
35,thats,days
36,learn,watch
37,2017,thats
38,did,big
39, join, come
