,FEMALE,MALE
0,just,im
1,like,just
2,im,like
3,people,think
4,new,want
5,day,know
6,love,dont
7,time,new
8,trump,people
9,life,good
10,president,trump
11,dont,fight
12,right,right
13,best,today
14,way,say
15,today,best
16,great,got
17,think,need
18,going,time
19,want,life
20,thanks,make
21,say,thanks
22,ill,love
23,remember,ill
24,check,did
25,know,tonight
26,2017,really
27,got,left
28,yes,twitter
29,family,great
30,join,years
31,stop,whats
32,youre,https
33,left,work
34,ive,thats
35,getting,isnt
36,thank,come
37,https,youre
38,says,way
39, isnt, day
