,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,trump
4,new,think
5,love,want
6,day,people
7,trump,new
8,time,dont
9,life,know
10,dont,today
11,today,good
12,best,need
13,right,time
14,president,fight
15,think,got
16,https,say
17,great,right
18,want,best
19,check,left
20,way,thanks
21,know,make
22,thanks,life
23,remember,love
24,going,whats
25,got,ill
26,youre,did
27,stop,video
28,ill,https
29,say,tonight
30,did,follow
31,getting,youre
32,yes,great
33,need,really
34,left,work
35,2017,watch
36,family,team
37,make,getting
38,big,years
39, ive, days
