,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,trump
4,new,think
5,trump,new
6,love,dont
7,today,people
8,day,today
9,time,right
10,life,want
11,right,know
12,best,time
13,dont,good
14,thanks,got
15,great,need
16,got,make
17,president,say
18,remember,best
19,check,thanks
20,ill,fight
21,way,days
22,want,left
23,make,did
24,think,love
25,going,life
26,join,ill
27,know,great
28,getting,https
29,https,work
30,stop,team
31,say,video
32,need,youre
33,yes,man
34,did,really
35,mueller,hes
36,ive,come
37,2017,president
38,money,getting
39, left, follow
