,FEMALE,MALE
0,the,the
1,and,to
2,to,and
3,of,of
4,in,is
5,is,in
6,you,for
7,for,you
8,on,this
9,with,on
10,my,with
11,it,it
12,this,at
13,that,be
14,are,by
15,your,from
16,at,not
17,just,was
18,me,that
19,was,are
20,about,have
21,im,my
22,be,but
23,like,your
24,not,just
25,when,we
26,from,like
27,out,an
28,do,me
29,how,so
30,its,he
31,have,im
32,as,all
33,people,they
34,trump,now
35,more,as
36,one,via
37,an,has
38,new,its
39, who, out
